SSC,Chemistry,HSC,Merit,JEE,Final,Admittance
94.8,95,91.8,81908,106,46,1
89.4,91,85.2,67.84300875,43,35,0
90,54,77.69,85.11089295,84,20,0
94.5,83,89.8,90.5835,109,0,0
91.2,95,84,81.91810973,67,36,1
79.27,58,68.15,66.35140044,45,29,0
87.6,68,84.46,74.1821988,38,52,1
84.36,61,69.08,81.9249371,79,40,1
84.36,71,80.92,88.9244,70,29,0
77.2,82,78.8,52.64931627,35,24,0
89.64,56,71.23,79.25370356,59,38,1
85.2,67,75.23,89.2016,90,33,0
92.36,84,91.08,95.3347,92,41,1
94.55,78,82.15,90.07512109,68,51,1
